---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 09-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-60  E 2C205  E 44A2E  -----00  E 2FF04  -----00  -----00  -----00  -----00  -----00  -FF-9  00--------
01-61  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-62  E 3C205  E 44A2E  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  -FF-B  00--------
01-63  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-A  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-00  A 2C205  A 4482D  E 5B44E  A 2FF04  A 5F104  C 6F104  E 6F104  A 4F704  E 5F004  F---D  0DSYNTHBEL
02-01  -----00  -----00  -----00  -----00  -----00  -----00  -----00  C 5F704  -----00  -----  00--------
02-02  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  E 5F704  -----00  ---FD  00--------
02-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  C 5F704  -----00  -----  00--------
02-04  C 4E44C  -----00  A 5B44E  A 2FF04  -----00  -----00  -----00  E 5F704  A 5F004  -FF-D  00--------
02-05  -----00  -----00  G 5B44E  -----00  -----00  -----00  -----00  A 4F704  G 5F004  -----  00--------
02-06  A 3C205  -----00  D 5B44E  A 3FF04  -----00  -----00  -----00  C 5F704  D 5F004  ----D  00--------
02-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  E 5F704  -----00  -----  00--------
02-08  A 2C205  -----00  E 5B44E  A 2FF04  -----00  -----00  -----00  C 5F704  E 5F004  F---D  00--------
02-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  E 5F704  -----00  -----  00--------
02-10  A 3C205  -----00  C 5B44E  A 3FF04  -----00  -----00  -----00  A 4F704  C 5F004  ---FD  00--------
02-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  C 5F704  -----00  -----  00--------
02-12  C 4E44C  -----00  D 5B44E  A 2FF04  -----00  -----00  -----00  E 5F704  D 5F004  -FF-D  00--------
02-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  C 5F704  -----00  -----  00--------
02-14  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  E 5F704  -----00  ----D  00--------
02-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 4F704  -----00  -----  00--------
02-16  F 2C205  F 46A2D  E 5B44E  F 2FF04  F 5F104  A 5F104  C 6F104  F 4F704  E 5F004  F---D  00--------
02-17  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 4F704  -----00  -----  00--------
02-18  F 3C205  -----00  -----00  F 3FF04  -----00  -----00  -----00  C 5F704  -----00  ---FD  00--------
02-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 4F704  -----00  -----  00--------
02-20  C 4E44C  -----00  A 5B44E  F 2FF04  -----00  -----00  -----00  C 5F704  A 5F004  -FF-D  00--------
02-21  -----00  -----00  G 5B44E  -----00  -----00  -----00  -----00  F 4F704  G 5F004  -----  00--------
02-22  F 3C205  -----00  D 5B44E  F 3FF04  -----00  -----00  -----00  A 4F704  D 5F004  ----D  00--------
02-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  C 5F704  -----00  -----  00--------
02-24  C 4E44C  -----00  A 5B44E  F 2FF04  -----00  -----00  -----00  A 4F704  A 5F004  FFF-D  00--------
02-25  C 4E44C  -----00  -----00  -----00  -----00  -----00  -----00  C 5F704  -----00  -FF--  00--------
02-26  F 3C205  -----00  G 5B44E  F 3FF04  -----00  -----00  -----00  F 4F704  G 5F004  ---FD  00--------
02-27  C 4E44C  -----00  -----00  -----00  -----00  -----00  -----00  A 4F704  -----00  -FF--  00--------
02-28  C 4E44C  -----00  C 6B44E  F 2FF04  -----00  -----00  -----00  C 5F704  C 6F004  -FF-D  00--------
02-29  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 4F704  -----00  -----  00--------
02-30  C 4E44C  -----00  -----00  F 3FF04  -----00  -----00  -----00  C 5F704  -----00  -FF-D  00--------
02-31  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F 4F704  -----00  -----  00--------
