---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 08-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-39  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-40  F 2C205  -----00  -----00  F 3FF04  -----00  -----00  -----00  F 2F13C  -----00  F---D  00--------
02-41  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-42  F 2C205  -----00  -----00  F 3FF04  -----00  -----00  -----00  F 2F13C  -----00  ---FD  00--------
02-43  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-44  F 2C205  -----00  G 6C24E  F 3FF04  -----00  -----00  -----00  F 2F13C  G 6F004  ----D  00--------
02-45  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-46  F 2C205  -----00  -----00  F 3FF04  -----00  -----00  -----00  F 2F13C  -----00  F---D  00--------
02-47  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-48  E 2C205  E 44A2D  E 6C24E  E 3FF04  E 5F104  G 5F104  B 5F104  E 2F13C  E 6F004  F---D  00--------
02-49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-50  E 2C205  -----00  -----00  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  ----D  00--------
02-51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-52  C 4F44C  -----00  -----00  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  FFF-D  00--------
02-53  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-54  C 4F44C  -----00  -----00  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  -FF-D  00--------
02-55  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-56  C 4F44C  -----00  -----00  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  FFF-D  00--------
