---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 05-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,74,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-43  -----00  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
02-44  F 2C105  -----00  G 5B01C  F 4FF04  -----00  -----00  -----00  -----00  G 5F004  F--DE  00--------
02-45  G 2C105  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
02-46  C 4D44C  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-47  -----00  -----00  F 5B01C  G 4FF04  -----00  -----00  -----00  -----00  F 5F004  ----E  00--------
02-48  G 2C105  A 4482D  -----00  G 4FF04  G 3FF04  A 5F104  C 6F104  E 6F104  -----00  F--DE  00--------
02-49  A 2C105  -----00  -----00  A 4FF04  A 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
02-50  C 4D44C  -----00  G 5B01C  A 4FF04  -----00  -----00  -----00  -----00  G 5F004  -FF-E  00--------
02-51  -----00  -----00  -----00  A 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
02-52  G 2C105  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  F--DE  00--------
02-53  A 2C105  -----00  F 5B01C  A 4FF04  -----00  -----00  -----00  -----00  F 5F004  ----E  00--------
02-54  C 4D44C  -----00  -----00  A 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-55  -----00  -----00  -----00  A 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
02-56  B 2C105  C 5482D  D 5B01C  B 4FF04  B 3FF04  C 6F104  E 6F104  G 6F104  D 5F004  F--DE  00--------
02-57  C 3C105  -----00  -----00  C 5FF04  C 4FF04  -----00  -----00  -----00  -----00  ----E  00--------
02-58  C 4D44C  -----00  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-59  -----00  -----00  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
02-60  C 4D44C  -----00  -----00  B 4FF04  -----00  -----00  -----00  -----00  -----00  FFFDE  00--------
02-61  C 4D44C  -----00  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-62  C 4D44C  -----00  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
